ATVI,21.6900,6998,21.6800,5608,N,21.7700,2300,21.7800,3400,Y
ADBE,66.8200,546,66.8100,750,Y,66.8300,248,66.8400,678,Y
AKAM,62.5200,180,62.5100,650,Y,62.5300,300,62.5400,561,Y
ALXN,160.8500,7,160.8400,100,Y,160.9400,135,160.9500,136,Y
GOOG,591.3400,27,591.3300,0,N,591.7200,100,591.7300,0,N
GOOGL,600.1800,1,600.1700,0,N,600.4700,100,600.4800,0,N
AMZN,330.5400,501,330.5300,0,N,330.7000,200,330.7100,4,N
AAL,37.1600,600,37.1500,800,Y,37.1700,400,37.1800,1300,Y
AMGN,143.3700,48,143.3600,72,Y,143.4200,658,143.4300,0,N
ADI,49.8400,801,49.8300,1592,Y,49.8700,800,49.8800,1078,Y
AAPL,101.6900,1000,101.6800,1550,Y,101.7300,2722,101.7400,1243,N
AMAT,22.5400,8374,22.5300,11550,Y,22.5700,7606,22.5800,0,N
ADSK,55.2000,664,55.1900,1385,Y,55.2300,522,55.2400,985,Y
ADP,83.7600,400,83.7500,200,N,83.7700,563,83.7800,0,N
AVGO,89.3100,450,89.3000,550,Y,89.3400,210,89.3500,391,Y
BIDU,224.8300,100,224.8200,0,N,225.0000,3798,225.0100,0,N
BBBY,63.7900,450,63.7800,395,N,63.8100,507,63.8200,1125,Y
BIIB,329.3200,6,329.3100,0,N,329.5800,100,329.5900,0,N
BMRN,69.7000,500,69.6900,200,N,69.7500,351,69.7600,100,N
CHRW,67.5400,501,67.5300,250,N,67.5500,19,67.5600,627,Y
CA,28.3400,1163,28.3300,0,N,28.3500,1239,28.3600,1589,Y
CELG,93.9500,100,93.9400,400,Y,93.9800,350,93.9900,0,N
CERN,58.5200,310,58.5100,414,Y,58.5400,200,58.5500,516,Y
CHTR,161.9400,289,161.9300,400,Y,161.9700,400,161.9800,300,N
CHKP,70.4200,800,70.4100,0,N,70.4300,12,70.4400,300,Y
CSCO,25.0500,8460,25.0400,18432,Y,25.0700,23225,25.0800,0,N
CTXS,71.2800,750,71.2700,1273,Y,71.3000,1300,71.3100,825,N
CTSH,45.0100,1267,45.0000,0,N,45.0300,1300,45.0400,1894,Y
CMCSA,56.8700,22,56.8600,0,N,56.6900,5222,56.7000,3425,N
CMCSK,56.4100,2350,56.4000,2150,N,56.4500,2079,56.4600,0,N
COST,126.7000,12,126.6900,0,N,126.7200,701,126.7300,0,N
DISCA,40.1200,1488,40.1100,1394,N,40.1400,805,40.1500,0,N
DISCK,39.3000,484,39.2900,0,N,39.3100,1260,39.3200,866,N
DISH,64.8600,955,64.8500,650,N,64.8800,93,64.8900,415,Y
DLTR,56.8900,300,56.8800,1359,Y,56.9100,863,56.9200,509,N
EBAY,52.5200,1362,52.5100,1932,Y,52.5500,1424,52.5600,1795,Y
EA,36.8900,1191,36.8800,1703,Y,36.9300,1015,36.9400,0,N
EXPD,41.7600,1205,41.7500,923,N,41.7700,300,41.7800,350,Y
ESRX,74.3200,500,74.3100,1150,Y,74.3300,600,74.3400,0,N
FB,77.0400,2568,77.0300,2223,N,77.0600,1850,77.0700,2150,Y
FAST,46.0000,291,45.9900,550,Y,46.0100,760,46.0200,690,N
FISV,65.5500,100,65.5400,350,Y,65.5800,572,65.5900,792,Y
GRMN,52.1500,1050,52.1400,1581,Y,52.1700,216,52.1800,704,Y
GILD,106.4600,980,106.4500,1199,Y,106.5100,300,106.5200,0,N
HSIC,117.0300,200,117.0200,108,N,117.0600,303,117.0700,0,N
ILMN,174.2500,148,174.2400,100,N,174.3300,200,174.3400,200,Y
INCY,49.2000,200,49.1900,300,Y,49.2800,250,49.2900,100,N
INTC,34.9200,4204,34.9100,11432,Y,34.9300,9600,34.9400,7925,N
INTU,86.2600,783,86.2500,1303,Y,86.3000,562,86.3100,470,N
ISRG,473.1100,800,473.1000,0,N,473.3000,400,473.3100,400,Y
JD,28.1000,800,28.0900,600,N,28.1300,600,28.1400,300,N
GMCR,135.6400,109,135.6300,7,N,135.7100,100,135.7200,100,Y
KLAC,80.5600,600,80.5500,263,N,80.5800,203,80.5900,500,Y
LRCX,76.3600,483,76.3500,662,Y,76.3900,400,76.4000,450,Y
LBTYA,44.1700,400,44.1600,1257,Y,44.1800,1100,44.1900,1264,Y
LBTYK,42.4700,1650,42.4600,1850,Y,42.4900,1500,42.5000,1050,N
LILA,,,,,N,,,,,N
LILAK,,,,,N,,,,,N
LVNTA,38.0200,636,38.0100,350,N,38.0500,300,38.0600,150,N
QVCA,,,,,N,,,,,N
LMCA,48.7300,284,48.7200,503,Y,48.7400,301,48.7500,400,Y
LMCK,49.0000,477,48.9900,312,N,49.0100,600,49.0200,600,Y
LLTC,45.3400,918,45.3300,1793,Y,45.3600,200,45.3700,711,Y
MAR,72.2200,1368,72.2100,1180,N,72.2400,200,72.2500,0,N
MAT,33.7700,2128,33.7600,1931,N,33.8000,2444,33.8100,2251,N
MU,31.6100,2706,31.6000,2212,N,31.6200,3526,31.6300,2359,N
MSFT,46.8800,6792,46.8700,6112,N,46.8900,4603,46.9000,0,N
MDLZ,35.6400,1939,35.6300,0,N,35.6500,2900,35.6600,0,N
MNST,90.2600,202,90.2500,0,N,90.2800,80,90.2900,100,Y
MYL,47.3700,700,47.3600,1503,Y,47.3800,901,47.3900,275,N
NTAP,43.0800,1264,43.0700,0,N,43.0900,1192,43.1000,1377,Y
NFLX,457.7000,100,457.6900,100,Y,457.9500,100,457.9600,0,N
NVDA,19.1300,3775,19.1200,0,N,19.1400,8105,19.1500,0,N
NXPI,72.1500,800,72.1400,585,N,72.1700,101,72.1800,360,Y
ORLY,154.0500,5,154.0400,187,Y,154.0800,307,154.0900,100,N
PCAR,59.7600,300,59.7500,588,Y,59.7900,1227,59.8000,1428,Y
PAYX,42.7600,900,42.7500,1621,Y,42.7700,1294,42.7800,2350,Y
PYPL,,,,,N,,,,,N
QCOM,75.6800,2250,75.6700,2447,Y,75.7100,1674,75.7200,0,N
REGN,360.0100,200,360.0000,12,N,360.4300,108,360.4400,7,N
ROST,75.3300,200,75.3200,0,N,75.3600,369,75.3700,734,Y
SNDK,101.9000,683,101.8900,376,N,101.9400,14,101.9500,0,N
SBAC,111.8100,200,111.8000,100,N,111.8600,102,111.8700,409,Y
STX,58.5200,728,58.5100,1008,Y,58.5400,100,58.5500,771,Y
SIRI,3.5900,621546,3.5800,0,N,3.6000,317855,3.6100,296874,N
SWKS,57.5400,450,57.5300,0,N,57.5700,250,57.5800,975,Y
SPLS,13.0100,7985,13.0000,11978,Y,13.0400,8624,13.0500,8824,Y
SBUX,76.1100,473,76.1000,1350,Y,76.1300,968,76.1400,860,N
SRCL,116.8100,690,116.8000,43,N,116.8500,204,116.8600,100,N
SYMC,24.3500,5912,24.3400,4560,N,24.3600,500,24.3700,2539,Y
TSLA,258.8600,100,258.8500,0,N,259.0800,306,259.0900,307,Y
TXN,48.8400,970,48.8300,1204,Y,48.8600,1912,48.8700,2152,Y
KHC,,,,,N,,,,,N
PCLN,1190.1400,18,1190.1300,3,N,1191.3000,3,1191.3100,100,Y
TSCO,60.9600,550,60.9500,377,N,60.9900,430,61.0000,0,N
TRIP,97.8800,308,97.8700,81,N,97.9400,105,97.9500,106,Y
FOX,34.0400,2948,34.0300,2650,N,34.0700,2127,34.0800,1950,N
FOXA,35.0800,5669,35.0700,4835,N,35.1000,6837,35.1100,3938,N
VRSK,64.0200,100,64.0100,0,N,64.0300,200,64.0400,315,Y
VRTX,104.4400,100,104.4300,0,N,104.4600,100,104.4700,100,Y
VIAB,80.9000,950,80.8900,1235,Y,80.9400,1079,80.9500,0,N
VIP,7.9700,3171,7.9600,8963,Y,7.9800,1100,7.9900,0,N
VOD,33.2400,2160,33.2300,5952,Y,33.2500,4008,33.2600,4587,Y
WBA,,,,,N,,,,,N
WDC,98.3800,101,98.3700,0,N,98.3900,100,98.4000,217,Y
WFM,39.0300,800,39.0200,834,Y,39.0400,765,39.0500,0,N
WYNN,184.4100,90,184.4000,100,Y,184.4800,33,184.4900,0,N
XLNX,44.0200,1400,44.0100,0,N,44.0300,932,44.0400,0,N
YHOO,40.7200,1000,40.7100,2950,Y,40.7400,3685,40.7500,7886,Y
